transaction_id,timestamp,amount,employee_id,department,vendor_id,category,risk_score,risk_tier,anomaly_type,true_risk,comp_A,comp_I,comp_B,comp_C
TXC3192854,2026-01-07 10:40:00,311928.17,EMP0208,Marketing,VEN016,Software,68.01,HIGH,employee_behavior_anomaly,True,0.9743420344613383,0.830021118753089,0.24269688496359776,0.0
TX5158F24C,2025-04-08 17:44:00,418051.53,EMP0052,HR,VEN018,Travel,67.73,HIGH,amount_anomaly,True,0.9967904261961014,0.8648308550585417,0.12885102790320294,0.0
TXFA2722C0,2025-01-16 17:17:00,487760.55,EMP0085,Engineering,VEN020,Equipment,66.68,HIGH,amount_anomaly,True,0.9848653885197565,0.8831634198252509,0.06470144503567397,0.0
TXC5ECB430,2026-01-30 15:19:00,436619.11,EMP0019,HR,VEN046,Travel,66.46,HIGH,amount_anomaly,True,0.9733638488904502,0.8699966550898609,0.09719121759592712,0.0
TXA85567EB,2026-06-14 10:15:00,205314.7,EMP0175,HR,VEN033,Consulting,66.35,HIGH,amount_anomaly,True,0.994171606915716,0.7803051183615067,0.1287353226754928,0.16666666666666666
TX5C823598,2026-07-13 12:20:00,195559.07,EMP0131,Operations,VEN021,Consulting,66.03,HIGH,employee_behavior_anomaly,True,0.9287768365255172,0.7745182311252323,0.32069186177838016,0.0
TX45CEF1F3,2026-01-16 16:58:00,488216.57,EMP0043,HR,VEN057,Equipment,65.9,HIGH,vendor_anomaly,True,0.965872381488869,0.8832745052667592,0.058756880081307264,0.0
TXEA7B8306,2025-07-25 18:14:00,371924.01,EMP0112,Operations,VEN011,Office Supplies,65.8,HIGH,amount_anomaly,True,0.9811561036143138,0.8509328195010649,0.08396358064717563,0.0
TXF36F27B5,2025-05-06 11:55:00,439018.51,EMP0086,Sales,VEN057,Equipment,65.74,HIGH,vendor_anomaly,True,0.9778497696579185,0.8706481215893308,0.052256633737802066,0.0
TX9EF95D74,2025-09-29 13:10:00,434934.03,EMP0207,Finance,VEN020,Equipment,65.52,HIGH,vendor_anomaly,True,0.9697653205105975,0.8695369916668532,0.057008238586092184,0.0
TX6871E142,2026-07-10 15:46:00,466819.11,EMP0200,HR,VEN057,Equipment,65.44,HIGH,vendor_anomaly,True,0.9597585629175894,0.8779469477005376,0.055929761265538946,0.0
TX4442D4A0,2025-03-21 14:18:00,422197.53,EMP0134,Engineering,VEN020,Equipment,65.21,HIGH,amount_anomaly,True,0.9657453754276272,0.8660039617268193,0.0551534027206008,0.0
TX5C301BBE,2025-02-21 13:22:00,349437.32,EMP0101,Marketing,VEN051,Travel,65.11,HIGH,amount_anomaly,True,0.9632975375491245,0.8435192740898435,0.09332667799399445,0.0
TXD48F1212,2025-06-16 12:03:00,332071.47,EMP0034,Finance,VEN056,Software,65.0,HIGH,amount_anomaly,True,0.9738820665780653,0.8374598537291474,0.08034284789916939,0.0
TX34D9E957,2025-12-04 10:01:00,477117.06,EMP0095,Marketing,VEN014,Utilities,64.84,HIGH,vendor_anomaly,True,0.952032487726196,0.8805407580068573,0.03521669230040672,0.0
TX8126C43A,2025-05-19 20:13:00,275105.07,EMP0181,Sales,VEN008,Office Supplies,64.78,HIGH,employee_behavior_anomaly,True,0.9942114663765234,0.8150883443099616,0.07281401591916142,0.0
TX9BE427CD,2025-03-21 11:23:00,356284.62,EMP0133,Operations,VEN044,Client Entertainment,64.44,HIGH,amount_anomaly,True,0.9663395910689452,0.8458260844041139,0.05093472887078939,0.0
TX04B396C4,2025-04-04 10:23:00,352286.39,EMP0028,Operations,VEN004,Office Supplies,64.12,HIGH,vendor_anomaly,True,0.9657271200466717,0.8444845508884643,0.03810470973793607,0.0
TXACE75D0A,2026-07-08 15:40:00,442656.5,EMP0203,Engineering,VEN006,Utilities,63.99,HIGH,vendor_anomaly,True,0.9388388110750979,0.8716291197638673,0.030960258968722856,0.0
TX17B18477,2025-08-01 15:45:00,298402.12,EMP0085,Engineering,VEN039,Equipment,63.97,HIGH,amount_anomaly,True,0.9571924147817624,0.824751374886769,0.07993435781115057,0.0
TX946C8C82,2025-09-12 14:17:00,444339.01,EMP0111,Engineering,VEN064,Client Entertainment,63.95,HIGH,vendor_anomaly,True,0.9330569740815338,0.872080091708076,0.03837094270671962,0.0
TX5BA81D2B,2025-12-18 13:56:00,438123.11,EMP0057,Sales,VEN014,Utilities,63.94,HIGH,vendor_anomaly,True,0.9380787297122464,0.8704054268949541,0.03223636468522768,0.0
TXB5FF9C7E,2025-01-14 16:15:00,304710.32,EMP0217,Sales,VEN007,Client Entertainment,63.86,HIGH,employee_behavior_anomaly,True,0.9751183233418802,0.8272381431455126,0.038901076859435044,0.0
TX2206F51D,2025-01-20 13:59:00,260024.11,EMP0153,Marketing,VEN051,Travel,63.86,HIGH,vendor_anomaly,True,0.9774938370727997,0.8083864512192754,0.06760436170451314,0.0
TX8D53F429,2025-12-13 15:00:00,219854.5,EMP0150,Finance,VEN060,Utilities,63.84,HIGH,amount_anomaly,True,0.9579284468222024,0.788438623174097,0.052506783594791565,0.16666666666666666
TXF727AABA,2025-11-26 19:38:00,315373.65,EMP0047,Finance,VEN007,Client Entertainment,63.79,HIGH,vendor_anomaly,True,0.9680322142891336,0.83132695860546,0.04043133664117294,0.0
TXA5C33EF1,2025-04-14 10:51:00,346512.59,EMP0110,Marketing,VEN042,Consulting,63.78,HIGH,amount_anomaly,True,0.9642501189314144,0.8425201421199645,0.027375438321645622,0.0
TXAE90BEE4,2026-07-07 12:57:00,403759.99,EMP0209,Engineering,VEN064,Client Entertainment,63.71,HIGH,vendor_anomaly,True,0.9393880081528295,0.8606959715078951,0.03522709675703791,0.0
TXEF6B0261,2025-11-07 19:02:00,306077.28,EMP0165,Engineering,VEN007,Client Entertainment,63.41,HIGH,vendor_anomaly,True,0.9614999060755697,0.8277702252444096,0.03909724483991061,0.0
TX85558FB4,2026-05-26 16:53:00,250009.32,EMP0189,Marketing,VEN011,Office Supplies,63.34,HIGH,employee_behavior_anomaly,True,0.9745028830368193,0.8037175888146071,0.05503007119954367,0.0
TX16F1B6DE,2026-03-13 09:52:00,356584.38,EMP0151,Marketing,VEN027,Client Entertainment,63.33,HIGH,vendor_anomaly,True,0.9442590978782129,0.8459260559730913,0.03359851655974395,0.0
TX16D02D99,2026-02-27 12:58:00,408038.31,EMP0093,HR,VEN064,Client Entertainment,63.32,HIGH,amount_anomaly,True,0.9272398687439597,0.8619489448417299,0.03470078648154417,0.0
TXDA378689,2025-11-12 15:25:00,323147.62,EMP0080,Finance,VEN020,Equipment,63.27,HIGH,vendor_anomaly,True,0.950337881722873,0.8342216438081514,0.04072861368580356,0.0
TX19ABFAA5,2025-09-29 08:26:00,218672.74,EMP0031,Marketing,VEN062,Consulting,63.19,HIGH,employee_behavior_anomaly,True,0.9728147545186822,0.7877979367359326,0.07861378298873771,0.0
TX8F52F4FF,2025-07-17 15:43:00,320317.0,EMP0103,Sales,VEN020,Equipment,63.17,HIGH,amount_anomaly,True,0.9487156851380443,0.8331757873084944,0.04031638619021394,0.0
TX17213C49,2026-03-18 10:08:00,276497.52,EMP0006,Sales,VEN005,Equipment,63.1,HIGH,amount_anomaly,True,0.9522963372697398,0.8156885034310195,0.060980915408916134,0.0
TX027D3407,2026-03-28 21:00:00,89943.58,EMP0176,Engineering,VEN049,Consulting,62.98,HIGH,frequency_anomaly,True,0.8814924567502592,0.6821925625177655,0.16233046475791943,0.5
TXAEAA9E56,2025-12-12 08:31:00,210590.64,EMP0137,Sales,VEN036,Client Entertainment,62.89,HIGH,employee_behavior_anomaly,True,0.9545553499133218,0.783321180675519,0.10309665792332136,0.0
TXC0499783,2026-05-30 08:18:00,172866.69,EMP0176,Engineering,VEN011,Office Supplies,62.82,HIGH,vendor_anomaly,True,0.9665210763930344,0.7598562876233246,0.03672212968798197,0.16666666666666666
TX6A9C818C,2026-04-19 12:40:00,275001.1,EMP0077,Marketing,VEN058,Client Entertainment,62.74,HIGH,none,False,0.9190765166032334,0.8150434104523986,0.019148989236657032,0.16666666666666666
TX0FF167F5,2026-02-20 10:07:00,235161.12,EMP0115,Operations,VEN028,Consulting,62.44,HIGH,amount_anomaly,True,0.9514248558805111,0.7964393369884839,0.06307716578063643,0.0
TX62ACF487,2025-05-20 10:50:00,276218.81,EMP0200,HR,VEN061,Software,62.35,HIGH,amount_anomaly,True,0.9468342415429695,0.8155686190871405,0.033096724478795206,0.0
TXE50A64DC,2025-06-09 13:58:00,195452.26,EMP0118,Marketing,VEN026,Utilities,62.27,HIGH,employee_behavior_anomaly,True,0.9465927092056616,0.7744532878611282,0.10184917918005218,0.0
TX31E5E96A,2026-06-26 16:52:00,305993.06,EMP0031,Marketing,VEN057,Equipment,62.24,HIGH,vendor_anomaly,True,0.9307778832772053,0.8277375118028205,0.034680774141801055,0.0
TX535A8EE2,2025-06-21 13:25:00,169695.81,EMP0083,Engineering,VEN054,Office Supplies,62.17,HIGH,vendor_anomaly,True,0.9367137665824933,0.7576555736263176,0.05993156074019494,0.16666666666666666
TX89C40642,2026-06-12 08:32:00,233859.2,EMP0140,Finance,VEN035,Client Entertainment,62.15,HIGH,amount_anomaly,True,0.9551036634018726,0.7957793951631471,0.043478092923026526,0.0
TXACE864E5,2025-12-24 11:45:00,432298.81,EMP0043,HR,VEN058,Client Entertainment,62.14,HIGH,amount_anomaly,False,0.8871822646790093,0.8688145625392483,0.034118391441039696,0.0
TX12CE0EC6,2025-07-11 12:51:00,222353.53,EMP0116,Sales,VEN015,Client Entertainment,62.14,HIGH,amount_anomaly,True,0.9379812497463577,0.7897821961324323,0.0836312387939719,0.0
TX15BF67DF,2025-12-26 11:00:00,365548.46,EMP0046,HR,VEN014,Utilities,62.11,HIGH,none,False,0.9131150609938069,0.8488774247860678,0.021769365490329852,0.0
TX675338E2,2026-06-23 14:08:00,346015.79,EMP0042,Engineering,VEN010,Office Supplies,62.1,HIGH,vendor_anomaly,True,0.9188990772899635,0.8423495902121043,0.022983598271471235,0.0
TX0AECDEA3,2025-02-21 09:59:00,230775.43,EMP0030,HR,VEN030,Equipment,62.07,HIGH,vendor_anomaly,True,0.9547379981518326,0.7942014617905905,0.042607883453885304,0.0
TXFBDA9046,2026-07-03 13:06:00,249021.31,EMP0180,Finance,VEN003,Client Entertainment,61.97,HIGH,amount_anomaly,True,0.9441200134554874,0.803246886087715,0.04066427949340108,0.0
TX2D9D821D,2026-07-17 11:50:00,251416.84,EMP0109,Engineering,VEN034,Consulting,61.86,HIGH,vendor_anomaly,True,0.9434486169153122,0.8043849496948066,0.03409731756758857,0.0
TXC51FCA22,2026-05-06 13:50:00,265850.75,EMP0162,HR,VEN053,Travel,61.85,HIGH,amount_anomaly,True,0.9305372275114561,0.8110207537416593,0.044755292436172545,0.0
TX18DE270B,2026-06-30 11:33:00,411576.38,EMP0174,Engineering,VEN058,Client Entertainment,61.82,HIGH,none,False,0.8885546507294606,0.8629752395163403,0.025865975301438335,0.0
TXFD9440E7,2025-09-01 16:32:00,229093.05,EMP0055,Sales,VEN024,Office Supplies,61.69,HIGH,vendor_anomaly,True,0.9499682211417172,0.793331692134495,0.03387583449532592,0.0
TXD9014DFB,2025-02-11 11:17:00,230452.4,EMP0001,Engineering,VEN012,Equipment,61.68,HIGH,vendor_anomaly,True,0.9503187763311347,0.7940349521854035,0.031219768757932646,0.0
TXB6E90A47,2026-06-12 10:58:00,252724.35,EMP0172,Engineering,VEN044,Client Entertainment,61.66,HIGH,amount_anomaly,True,0.9367357577607047,0.8050015529851233,0.034984439211938945,0.0
TXAE28EFE0,2026-01-01 13:22:00,255102.24,EMP0025,Operations,VEN030,Equipment,61.6,HIGH,amount_anomaly,True,0.9266528167853206,0.8061147999950502,0.0476094794816917,0.0
TX788D482F,2025-08-14 08:18:00,330060.8,EMP0117,Sales,VEN010,Office Supplies,61.31,HIGH,vendor_anomaly,True,0.8963941386185245,0.8367378992470244,0.03267636071755502,0.0
TX0A2D753E,2026-05-02 14:01:00,172279.53,EMP0190,Engineering,VEN024,Office Supplies,61.03,HIGH,vendor_anomaly,True,0.9227133283732568,0.7594518374807002,0.024368422608213494,0.16666666666666666
TXD6CE7618,2025-11-15 12:44:00,161860.49,EMP0217,Sales,VEN062,Consulting,61.0,HIGH,employee_behavior_anomaly,True,0.9107075982316988,0.7520361541907327,0.05705144080626931,0.16666666666666666
TX08297AC9,2026-04-22 17:00:00,187116.96,EMP0191,Operations,VEN048,Client Entertainment,60.9,HIGH,amount_anomaly,True,0.9311026051670521,0.7692725523226378,0.06911231711200874,0.0
TX23674C68,2026-01-02 11:14:00,217162.31,EMP0181,Sales,VEN034,Consulting,60.7,HIGH,amount_anomaly,True,0.9308872055220013,0.7869740036450195,0.02894953265711588,0.0
TX57D9B4D9,2025-11-04 08:14:00,201760.49,EMP0156,Sales,VEN030,Equipment,60.62,HIGH,vendor_anomaly,True,0.932779049480048,0.7782292916191406,0.036642407148071245,0.0
TX5B5C5BD9,2026-01-03 15:00:00,103680.85,EMP0069,HR,VEN009,Equipment,60.52,HIGH,frequency_anomaly,True,0.8221644279116413,0.6990884036280192,0.28042813683859275,0.16666666666666666
TXBA75F219,2026-05-23 09:37:00,135479.83,EMP0099,Sales,VEN058,Client Entertainment,60.44,HIGH,none,False,0.8007195588955994,0.730887335980067,0.008512188303546503,0.6666666666666666
TX0384279B,2025-12-27 08:19:00,146356.7,EMP0180,Finance,VEN054,Office Supplies,60.34,HIGH,amount_anomaly,True,0.907134040796357,0.7400671328854196,0.05087585091840147,0.16666666666666666
TX929649CB,2025-12-26 15:24:00,220836.25,EMP0041,Engineering,VEN034,Consulting,60.33,HIGH,vendor_anomaly,True,0.9179372648521359,0.7889682615835655,0.029501653877111657,0.0
TXCDBBC09C,2026-02-06 12:36:00,403266.1,EMP0050,Engineering,VEN058,Client Entertainment,60.24,HIGH,none,False,0.8491962453706501,0.8605504740565586,0.020070748557013587,0.0
TXC275EEE7,2025-01-13 12:02:00,185261.34,EMP0051,Marketing,VEN030,Equipment,60.2,HIGH,employee_behavior_anomaly,True,0.9329811654622452,0.7680878214871822,0.03325017926853498,0.0
TXCA8645C6,2026-06-14 15:50:00,211211.62,EMP0004,HR,VEN058,Client Entertainment,60.2,HIGH,none,False,0.8795671229014802,0.7836711908872673,0.016002949075787833,0.16666666666666666
TXE6714294,2026-06-29 12:12:00,245933.37,EMP0176,Engineering,VEN014,Utilities,60.18,HIGH,vendor_anomaly,True,0.9055820648742899,0.8017636132352001,0.02114953970551397,0.0
TXCC2F7621,2025-10-29 13:10:00,376348.07,EMP0185,HR,VEN058,Client Entertainment,60.15,HIGH,none,False,0.8526279879506108,0.8523384757164826,0.023893743334854868,0.0
TXC9D7D3F7,2026-05-30 23:00:00,108809.94,EMP0051,Marketing,VEN012,Equipment,60.13,HIGH,frequency_anomaly,True,0.8630705552852891,0.7048281702782401,0.01283919716305024,0.5
TX2021FA89,2026-05-25 10:42:00,180086.21,EMP0119,Sales,VEN022,Travel,60.0,HIGH,vendor_anomaly,True,0.9220691791533531,0.76471995019618,0.04817623266746435,0.0
TX67A2F578,2025-07-20 18:26:00,217116.73,EMP0207,Finance,VEN058,Client Entertainment,59.94,HIGH,none,False,0.8700040931520637,0.7869490509646605,0.01419984431033424,0.16666666666666666
TXC3A1D933,2026-07-10 19:00:00,167905.24,EMP0164,HR,VEN056,Software,59.88,HIGH,frequency_anomaly,True,0.9326255633902926,0.756394609402936,0.038120477225223146,0.0
TXE4C93777,2026-05-23 00:37:00,135479.83,EMP0099,Sales,VEN058,Client Entertainment,59.85,HIGH,time_anomaly,False,0.8315163370547975,0.730887335980067,0.008512188303546503,0.5
TX71D75FF2,2025-07-04 13:57:00,189165.71,EMP0092,Finance,VEN008,Office Supplies,59.85,HIGH,vendor_anomaly,True,0.911720196638278,0.7705670178308976,0.048556579687547424,0.0
TXC0A48173,2025-11-08 10:29:00,226553.94,EMP0042,Engineering,VEN058,Client Entertainment,59.73,HIGH,none,False,0.8585616641044226,0.7920068340826656,0.01444010877231966,0.16666666666666666
TX2516C238,2025-12-20 04:00:00,101932.96,EMP0171,Sales,VEN046,Travel,59.71,HIGH,frequency_anomaly,True,0.8548834957857941,0.6970673315398249,0.01967544162691993,0.5
TX036B7A1F,2026-05-13 10:44:00,194033.47,EMP0129,Operations,VEN044,Client Entertainment,59.62,HIGH,vendor_anomaly,True,0.91502027576211,0.7735872437575335,0.025944905650150882,0.0
TX30E05908,2025-09-11 11:00:00,129783.51,EMP0073,Sales,VEN049,Consulting,59.61,HIGH,frequency_anomaly,True,0.8423322520779084,0.7257811763231815,0.23639159660991602,0.0
TXF98EEC01,2026-04-09 14:12:00,241530.01,EMP0209,Engineering,VEN014,Utilities,59.58,HIGH,vendor_anomaly,True,0.8911032101315997,0.7996159510087877,0.020453107410289734,0.0
TXB655CF4C,2025-10-31 09:44:00,250011.42,EMP0071,Marketing,VEN014,Utilities,59.57,HIGH,amount_anomaly,True,0.8840947456821444,0.8037185873036172,0.024737121287629442,0.0
TXFAF10CAB,2025-07-03 15:18:00,166508.67,EMP0199,Finance,VEN032,Consulting,59.54,HIGH,vendor_anomaly,True,0.9234181004086364,0.7554017401711258,0.039310955897467956,0.0
TX489F6586,2026-01-08 20:28:00,141776.95,EMP0139,HR,VEN047,Utilities,59.46,HIGH,amount_anomaly,True,0.9037202412974349,0.736287974423569,0.1030376988797207,0.0
